#name , nEmerging , ht , pt0 , pt1 , pt2 , pt3 , met , pu_dz , alpha3d_dz , 3d_sig , alpha3d , medAbsIp
cut1,  2,  900,  225,  100,  100,  100,    0,  2.5, 0.01,    4, 0.25,  0.05
cut2,  2,  900,  225,  100,  100,  100,    0,    4, 0.01,    4, 0.25,   0.1
cut3,  1,  900,  225,  100,  100,  100,  150,   15, 0.01,   30, 0.25,  0.15
cut4,  1,  900,  225,  100,  100,  100,  200,    4, 0.01,   20, 0.25,  0.25
cut5,  2, 1100,  275,  250,  150,  150,    0,  2.5, 0.01,    4, 0.25,  0.05
cut6,  2, 1000,  250,  150,  100,  100,    0,  2.5, 0.01,    4, 0.25,   0.1
cut7,  2, 1000,  250,  150,  100,  100,    0,  2.5, 0.01,   20, 0.25,  0.05
cut8,  2, 1200,  300,  250,  200,  150,    0,  2.5, 0.01,   10, 0.25,  0.05
